Symbol,FINAL_WEIGHT
CPPLUS,0.0433257368359144
HSCL,0.0413772095426265
APCOTEXIND,0.0401992938730168
ADANIENT,0.039911293914623
CONFIPET,0.0395096397302414
IOLCP,0.0371882733022332
GRANULES,0.0357180473874277
ADANIENSOL,0.0350039941826131
IBULLSLTD,0.0343593666507723
ADANIGREEN,0.0340033629881677
ACMESOLAR,0.0333680407371307
IDEAFORGE,0.0329134749965033
BAJAJCON,0.0328034861151294
CEMPRO,0.0325651061035051
HONASA,0.0323409587097145
HFCL,0.0316663489686118
ATHERENERG,0.031032495053286
ARVIND,0.0295446315449073
AVALON,0.0294898582135803
ACCENTMIC,0.0280081143507964
EFFWA,0.0280010614580337
ANGELONE,0.0256864669564399
AEROFLEX,0.0256380338005201
GOKULAGRO,0.024550705138997
AFIL,0.0237407281520131
ASIANENE,0.0235627290428808
IDEA,0.0229080147699214
ARROWGREEN,0.0202868216820703
JINDALSAW,0.0202634961841802
BLISSGVS,0.0194630528749825
GANESHHOU,0.0174400558114724
AIMTRON,0.0171830677133966
EMKAY,0.0140473571765008
EMAMIREAL,0.0118150034038314
BCG,0.0083039804811203
HMVL,0.0027806921528366
