Symbol,MULTI_FACTOR_SCORE,LIQUIDITY_SCORE,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,NEWS_ALPHA,NEWS_SCORE,NEWS_BIAS,NEWS_IMPACT,NEWS_FLAG,ENTRY_SCORE,CONVICTION,CONVICTION_SCORE,CONVICTION_RANK
CONFIPET,92.55,72.23168654173764,99.77,99.54,99.65,65.77,59.77,-1.5,NEUTRAL,LOW,NORMAL,8.0,HIGH,86.95,4
IDEAFORGE,92.36,82.62350936967631,99.54,98.96,99.54,47.51,50.0,0.0,NEUTRAL,LOW,NORMAL,8.0,HIGH,84.89,12
ADANIENSOL,92.09,97.78534923339012,94.93,97.0,96.2,24.85,74.65,4.9,POSITIVE,HIGH,NEWS CATALYST,8.0,HIGH,89.66,1
IOLCP,91.26,81.60136286201022,98.04,99.08,98.39,33.26000000000001,50.0,0.0,NEUTRAL,LOW,NORMAL,8.0,HIGH,84.23,17
IBULLSLTD,90.97,62.86201022146509,99.42,99.42,99.31,54.41,50.0,0.0,NEUTRAL,LOW,NORMAL,8.0,HIGH,84.06,20
CPPLUS,90.48,88.75638841567292,99.19,99.88,99.42,46.3,69.07,2.5,POSITIVE,MEDIUM,POSITIVE NEWS,8.0,HIGH,87.58,2
CEMPRO,89.97,84.8381601362862,98.96,98.5,98.85,37.806666666666665,57.44,0.0,NONE,LOW,NORMAL,8.0,HIGH,84.95,11
HSCL,89.72,98.46678023850085,95.05,97.93,96.66,24.26,50.0,0.0,NEUTRAL,LOW,NORMAL,8.0,HIGH,83.32,27
ADANIENT,89.56,98.9778534923339,94.82,95.74,95.97,19.74,57.67,-2.4,NEGATIVE,MEDIUM,NEGATIVE NEWS,8.0,HIGH,84.76,13
AEROFLEX,89.08,84.32708688245314,98.16,96.66,97.7,34.74333333333333,60.47,-1.2,NEUTRAL,LOW,NORMAL,7.0,HIGH,82.53,30
HIRECT,88.75,73.25383304940375,96.08,94.7,94.7,26.15,50.0,0.0,NEUTRAL,LOW,NORMAL,8.0,HIGH,82.74,28
BLSE,87.96,46.678023850085175,97.0,98.85,97.35,28.079999999999995,51.63,-5.0,NEGATIVE,HIGH,NEWS RISK,8.0,HIGH,82.6,29
INOXINDIA,87.77,76.8313458262351,83.29,94.93,87.56,16.8,50.0,0.0,NEUTRAL,LOW,NORMAL,10.0,HIGH,87.16,3
ACMESOLAR,87.58,0.0,94.59,97.12,96.54,26.46,66.74,1.5,NEUTRAL,LOW,NORMAL,8.0,HIGH,85.39,9
GAYAPROJ,87.57,0.0,93.55,99.31,95.16,27.28333333333333,50.0,0.0,NEUTRAL,LOW,NORMAL,8.0,HIGH,82.04,32
AVALON,87.55,0.0,97.64,96.37,98.04,29.206666666666663,69.07,2.5,POSITIVE,MEDIUM,POSITIVE NEWS,8.0,HIGH,85.84,7
APCOTEXIND,87.54,44.97444633730835,95.39,95.28,95.62,23.816666666666663,65.58,1.5,NEUTRAL,LOW,NORMAL,8.0,HIGH,85.14,10
BALAMINES,87.21,0.0,98.85,97.47,98.73,39.366666666666674,63.26,0.0,NEUTRAL,LOW,NORMAL,8.0,HIGH,84.48,16
ATHERENERG,87.2,96.763202725724,92.86,95.51,92.63,22.710000000000004,67.91,2.0,POSITIVE,MEDIUM,POSITIVE NEWS,8.0,HIGH,85.4,8
GRWRHITECH,86.93,79.89778534923339,95.85,87.67,94.12,17.723333333333333,50.0,0.0,NEUTRAL,LOW,NORMAL,8.0,HIGH,81.66,36
GULPOLY,86.48,60.47700170357752,87.33,87.33,89.86,19.04,50.0,0.0,NEUTRAL,LOW,NORMAL,10.0,HIGH,86.39,5
APOLLO,86.23,0.0,98.5,97.81,98.27,37.306666666666665,63.72,0.2,NEUTRAL,LOW,NORMAL,8.0,HIGH,83.99,21
GVPIL,86.22,0.0,99.31,97.58,98.96,37.03333333333334,50.0,0.0,NEUTRAL,LOW,NORMAL,8.0,HIGH,81.24,39
GANESHBE,86.16,48.38160136286201,90.21,88.59,91.13,21.49,50.0,0.0,NEUTRAL,LOW,NORMAL,8.0,HIGH,81.2,40
BAJAJCON,86.02,77.00170357751279,93.2,91.71,91.01,19.7,67.79,1.95,NEUTRAL,LOW,NORMAL,8.0,HIGH,84.68,14
GUFICBIO,85.76,44.804088586030666,90.55,93.09,93.43,17.639999999999997,50.0,0.0,NEUTRAL,LOW,NORMAL,8.0,HIGH,80.96,42
ASIANENE,85.65,73.59454855195912,89.06,83.64,90.78,15.79,64.3,1.2,NEUTRAL,LOW,NORMAL,8.0,HIGH,83.76,24
BAJEL,85.53,71.37989778534923,88.36,86.87,90.9,16.003333333333334,83.95,8.9,POSITIVE,HIGH,NEWS CATALYST,5.0,HIGH,80.12,47
HONASA,85.2,92.16354344122658,90.78,95.85,91.82,16.926666666666666,50.0,0.0,NEUTRAL,LOW,NORMAL,8.0,HIGH,80.63,44
CUPID,85.12,0.0,96.54,94.59,94.82,28.74,57.44,0.0,NONE,LOW,NORMAL,8.0,HIGH,82.07,31
ACUTAAS,84.86,0.0,95.62,95.05,95.39,21.636666666666667,68.37,2.2,POSITIVE,MEDIUM,POSITIVE NEWS,8.0,HIGH,84.1,19
ASTRAMICRO,83.98,0.0,91.82,92.74,94.24,16.02,59.77,-1.5,NEUTRAL,LOW,NORMAL,8.0,HIGH,81.86,34
CEIGALL,83.74,64.5655877342419,85.14,95.16,89.63,14.563333333333333,70.23,3.0,POSITIVE,HIGH,NEWS CATALYST,8.0,HIGH,83.81,23
IZMO,83.13,0.0,90.9,79.61,93.32,21.66333333333333,65.58,1.0,NEUTRAL,LOW,NORMAL,7.0,HIGH,80.02,48
ADFFOODS,82.85,0.0,93.66,91.01,92.05,22.120000000000005,73.14,4.25,POSITIVE,HIGH,NEWS CATALYST,8.0,HIGH,83.86,22
AIAENG,82.6,79.04599659284497,84.56,92.17,88.36,13.12,77.91,6.3,POSITIVE,HIGH,NEWS CATALYST,8.0,HIGH,84.67,15
CHENNPETRO,82.57,86.71209540034071,78.8,73.62,84.33,13.266666666666666,57.44,0.0,NONE,LOW,NORMAL,8.0,HIGH,80.56,45
ACCENTMIC,82.52,33.901192504258944,89.98,90.67,88.82,19.226666666666667,64.42,1.5,NEUTRAL,LOW,NORMAL,8.0,HIGH,81.92,33
JAYBARMARU,81.98,74.78705281090289,91.36,73.5,89.29,18.42,61.51,0.0,NEUTRAL,LOW,NORMAL,8.0,HIGH,81.02,41
INNOVACAP,81.92,0.0,88.59,89.75,90.67,13.39,50.0,0.0,NEUTRAL,LOW,NORMAL,10.0,HIGH,83.68,25
DATAPATTNS,81.52,97.61499148211244,81.68,76.44,79.38,12.636666666666663,50.0,0.0,NEUTRAL,LOW,NORMAL,10.0,HIGH,83.45,26
AFIL,81.1,0.0,91.24,90.78,88.25,20.406666666666663,65.58,1.0,NEUTRAL,LOW,NORMAL,8.0,HIGH,81.31,38
CGPOWER,80.86,0.0,87.9,92.28,89.4,14.933333333333332,68.6,2.3,POSITIVE,MEDIUM,POSITIVE NEWS,8.0,HIGH,81.77,35
APARINDS,80.46,0.0,88.71,85.83,88.13,15.893333333333333,63.26,0.0,NEUTRAL,LOW,NORMAL,8.0,HIGH,80.47,46
ASTERDM,79.18,77.34241908006815,75.58,83.06,81.45,8.926666666666664,60.47,-1.2,NEUTRAL,LOW,NORMAL,10.0,HIGH,84.15,18
HINDOILEXP,78.17,64.05451448040887,76.73,56.91,80.07,10.263333333333332,50.0,0.0,NEUTRAL,LOW,NORMAL,10.0,HIGH,81.45,37
J&KBANK,76.96,80.23850085178876,80.53,80.99,75.46,11.73,50.0,0.0,NEUTRAL,LOW,NORMAL,10.0,HIGH,80.74,43
