Sector,AVG_MOMENTUM,AVG_SHARPE,AVG_INSTITUTIONAL_SCORE,BUY_COUNT,STRONG_BUY_COUNT,TOTAL_STOCKS,SECTOR_SCORE
Healthcare,11.07,84.15,1291.15,130,130,130,417.02
Utilities,7.54,55.29,1199.97,32,32,32,379.59
Energy,9.8,48.83,1203.06,28,28,28,379.49
Basic Materials,6.44,36.83,1074.1,306,305,309,335.85
Industrials,7.41,37.78,1059.52,398,396,400,332.15
Technology,9.87,36.82,1041.33,149,149,150,327.39
Unknown,4.7,35.04,959.14,655,649,684,300.13
Consumer Defensive,4.52,24.7,965.7,138,137,139,298.93
Real Estate,3.48,21.79,934.19,62,61,63,288.19
Consumer Cyclical,4.39,23.73,913.93,352,352,359,283.05
Financial Services,3.45,31.34,887.65,199,199,199,277.08
Communication Services,2.14,18.44,822.58,65,65,66,253.16
