DATE,VERSION,TOTAL_RETURN,CAGR,SHARPE,VOLATILITY,MAX_DRAWDOWN,WIN_RATE,PORTFOLIO_SIZE,REGIME,NOTES
2026-06-02 20:12:08,1,1151.36,48.28,2.39,20.17,-32.08,58.78,12,BEAR,
2026-06-02 20:20:04,2,1151.36,48.28,2.39,20.17,-32.08,58.78,12,BEAR,
2026-06-02 20:27:39,3,1151.36,48.28,2.39,20.17,-32.08,58.78,12,BEAR,
2026-06-04 07:10:28,4,1151.36,48.28,2.39,20.17,-32.08,58.78,12,BEAR,
2026-06-04 07:10:35,5,1151.36,48.28,2.39,20.17,-32.08,58.78,12,BEAR,
2026-06-04 07:10:50,6,1151.36,48.28,2.39,20.17,-32.08,58.78,12,BEAR,
2026-06-04 07:10:59,7,1151.36,48.28,2.39,20.17,-32.08,58.78,12,BEAR,
2026-06-04 07:16:45,8,1151.36,48.28,2.39,20.17,-32.08,58.78,12,BEAR,
2026-06-04 08:12:02,9,1151.36,48.28,2.39,20.17,-32.08,58.78,12,BEAR,
2026-06-04 08:49:53,10,1151.36,48.28,2.39,20.17,-32.08,58.78,12,BEAR,
2026-06-04 10:33:45,11,1151.36,48.28,2.39,20.17,-32.08,58.78,12,BEAR,
2026-06-04 10:55:07,12,1151.36,48.28,2.39,20.17,-32.08,58.78,12,LOW_VOL,
2026-06-04 12:39:48,13,1151.36,48.28,2.39,20.17,-32.08,58.78,12,LOW_VOL,
2026-06-04 13:08:40,14,1151.36,48.28,2.39,20.17,-32.08,58.78,12,LOW_VOL,
2026-06-04 18:06:30,15,1151.36,48.28,2.39,20.17,-32.08,58.78,12,LOW_VOL,
2026-06-04 22:56:41,16,1151.36,48.28,2.39,20.17,-32.08,58.78,12,LOW_VOL,
2026-06-05 08:08:13,17,1151.36,48.28,2.39,20.17,-32.08,58.78,12,LOW_VOL,
2026-06-05 08:36:18,18,1151.36,48.28,2.39,20.17,-32.08,58.78,12,LOW_VOL,
2026-06-05 09:04:10,19,1151.36,48.28,2.39,20.17,-32.08,58.78,12,LOW_VOL,
2026-06-05 10:42:21,20,1151.36,48.28,2.39,20.17,-32.08,58.78,12,LOW_VOL,
